============================================ prepare_Object
79226537
object read {'loc': [14.783866033810995, -80.584503296591], 'ra': 194.783866033811, 'decl': -80.584503296591}
object read {'loc': [6.5522122569090016, -79.8814580946151], 'ra': 186.552212256909, 'decl': -79.8814580946151}
object read {'loc': [13.16106307770201, -80.8716448814108], 'ra': 193.161063077702, 'decl': -80.8716448814108}
object read {'loc': [8.069601541617999, -80.706590445934], 'ra': 188.069601541618, 'decl': -80.706590445934}
object read {'loc': [12.593920457846991, -80.6159475227182], 'ra': 192.593920457847, 'decl': -80.6159475227182}
object read {'loc': [13.421592148309003, -80.7110481662732], 'ra': 193.421592148309, 'decl': -80.7110481662732}
object read {'loc': [1.3094422790099998, -79.9879923144873], 'ra': 181.30944227901, 'decl': -79.9879923144873}
object read {'loc': [8.416027647893003, -80.9038031186559], 'ra': 188.416027647893, 'decl': -80.9038031186559}
object read {'loc': [8.426124029812001, -79.5083484925142], 'ra': 188.426124029812, 'decl': -79.5083484925142}
object read {'loc': [7.294945403442, -79.7332562744965], 'ra': 187.294945403442, 'decl': -79.7332562744965}
object read {'loc': [-29.138212710434004, -78.6483139268634], 'ra': 150.861787289566, 'decl': -78.6483139268634}
object read {'loc': [-35.39590469143599, -78.9985084503756], 'ra': 144.604095308564, 'decl': -78.9985084503756}
object read {'loc': [-31.248115774641008, -78.9070926632306], 'ra': 148.751884225359, 'decl': -78.9070926632306}
object read {'loc': [-34.154590759330006, -77.8758189435722], 'ra': 145.84540924067, 'decl': -77.8758189435722}
object read {'loc': [-38.55961867764, -78.2103932835529], 'ra': 141.44038132236, 'decl': -78.2103932835529}
object read {'loc': [-33.76549036094701, -77.7882307411835], 'ra': 146.234509639053, 'decl': -77.7882307411835}
object read {'loc': [-40.553141030066996, -77.4696230425005], 'ra': 139.446858969933, 'decl': -77.4696230425005}
object read {'loc': [-38.14313160320799, -79.098553000193], 'ra': 141.856868396792, 'decl': -79.098553000193}
object read {'loc': [-35.82541634105101, -78.1185284220508], 'ra': 144.174583658949, 'decl': -78.1185284220508}
object read {'loc': [-37.84678232560199, -78.139784589784], 'ra': 142.153217674398, 'decl': -78.139784589784}
object read {'loc': [-36.58661924612599, -79.3719117819958], 'ra': 143.413380753874, 'decl': -79.3719117819958}
